title,author,condition,price
The civil war and readjustment in kentucky,by E. Merton Coulter,Rare Books,£19.99
Record of Municipal Affairs in Aberdeen Since The Passing Of The Burgh Reform Act In 1833 - english,by James A. Ross,Rare Books,£20.59
War Contrasted With Peace and Other Poems,by L.M.P. Hansford,Rare Books,£14.49
Greed and Corporate Failure: The Lessons from Recent Disasters,by S.Hamilton,Rare Books,£15.69
"Madame Stael on Politics, Literature and National Character",by Madame Stael,Rare Books,£7.69
The Politics of Hope - Some Searching Explorations into American Politics and Culture,by Arthur M. Schlesinger Jr,Rare Books,£6.99
The Book of The Army Pageant: Held at Fulham Palace,by F R Benson A T Craig,Rare Books,£6.09
Pageant of The Century,by H V Morton,Rare Books,£7.09
Tanks and Other A.F.V.. of the Blitzkrieg Era,by B.T. White,Rare Books,£5.69
Second To None: A Military Romance,by J. Grant,Rare Books,£7.69
The Commonwealth At War,by A.F. Pollard,Rare Books,£5.99
Battle of The Java Sea,by David Thomas,Rare Books,£6.59
Strike Force,by Norman Daniels,Rare Books,£4.89
The Second World War 10. Assault From The Air,by W S Churchill,Rare Books,£5.49
Sport in Society,by P.C. McIntosh,Rare Books,£6.69
Dramatic Decisions 1776-1945,by John H. Bowles,Rare Books,£8.09
The Red Guard,by Nick Carter,Rare Books,£4.99
Parliament,by W. I. Jennings,Rare Books,£6.99
Khaki and Green,,Rare Books,£6.79
"Immiseration Capitalism and Education: Austerity, Resistance and Resistance and Revolt",by Dave Hill (Editor),Rare Books,£7.59
Poor Kids: Report on Children in Poverty,by Alvin L. Schorr,Rare Books,£5.69
The Case for Liberty,by Edmund Sidney Pollock Haynes,Rare Books,£7.29
Why Liberal?,by Harry Cowie,Rare Books,£5.09
Welsh Militia And Volunteer Corps 1757-1908 : 1. Anglesey And Caernarfonshire,by Bryn Owen,Rare Books,£6.59
You And Your Marriage,by Hugh B. Brown,Rare Books,£6.59
Rank and File,by T. H. McGuffie,Rare Books,£6.79
Psychology: General Industrial Social,by John Munro Fraser,Rare Books,£6.79
God's Psychiatry,by Charles L Allen,Rare Books,£5.69
Contemporary Schools of Psychology,by Robert S. Woodworth,Rare Books,£6.69
The Great Deeds of The Black Watch,by L. Cope Cornford,Rare Books,£6.19
A Modern Introduction to the Family,by N W Bell and E F Vogel (Eds.),Rare Books,£7.09
Atlantic Front,by Basil Woon,Rare Books,£7.19
The New Europe 1789-1889,by Reginald W. Jeffery,Rare Books,£8.09
State Socialism in Practice,by Archibald Hurd,Rare Books,£5.89
Birmingham at War: v. 1,by Alton Douglas et al,Rare Books,£6.49
The Whig Supremacy 1714-1760,by Basil William,Rare Books,£6.99
Richard Cobden and Foreign Policy,by W. H. Dawson,Rare Books,£6.59
English Political Thought In The Nineteenth Century,by Crane Brinton,Rare Books,£5.59
The American People; A Study in National Character,by Geoffrey Gorer,Rare Books,£7.09
Fighting Under the Sea,by Donald Macintyre,Rare Books,£6.29
Biggin on the Bump: The Most Famous Fighter Station in the World,by Bob Ogley,Rare Books,£5.49
Tell Me Another Morning,by Zdena Berger,Rare Books,£6.49
This Freedom of Ours,by Frank Birch,Rare Books,£7.19
The Modern Development of City Government in the United Kingdom and the United States: Volume One,by Ernest S. Griffith,Rare Books,£6.89
The Political Philosophers,by Saxer Commins & Robert N. Linscott,Rare Books,£5.99
Lonely Warrior - Jean Offenberg,by Victor Houart,Rare Books,£4.89
Court Martial,by John Wilson,Rare Books,£4.89
Since Silent Spring,"by Frank Graham, Jr.",Rare Books,£6.99
H.M.S. Marlborough Will Enter Harbour,by Nicholas Monsarrat,Rare Books,£6.19
Politics and Poverty,by Lewis C Ord,Rare Books,£7.69
Casework and Pastoral Care,by Jean Schofield Heywood,Rare Books,£5.19
Sketches Of Upper Canada.,by John Howison,Rare Books,£6.39
In Tyrannos; Four Centuries of Struggle Against Tyranny in Germany,by Hans J. Rehfisch (ed.),Rare Books,£7.69
Tribal Culture in Bangladesh,by Abdus Sattar,Rare Books,£7.49
The Phoney War on the Home Front,by E.S. Turner,Rare Books,£9.99
Industrial Psychology; Theoretical & Social Foundations,"by Milton L. Blum, James C. Naylor",Rare Books,£12.59
Guide To Modern Thought,by C. E. M. Joad,Rare Books,£8.09
Mental Abnormality and Crime,by Various,Rare Books,£9.99
Science and Technology in British Politics,by Norman J. Vig,Rare Books,£21.49
Trade Unions In The New Society,by H Laski,Rare Books,£8.29
Full Employment and State Control: A Symposium on the Degree of Control Essential,by D Jones,Rare Books,£15.39
H. Jones VC,by John Wilsey,Rare Books,£7.99
Some Economic Consequences of The Great War,by Arthur L. Bowley,Rare Books,£11.99
British Heroes in Afghanistan,by David Bailey & Dylan Jones,Rare Books,£27.59
The Life And Livelihood Geographies Book One,by D.W. Shave,Rare Books,£6.89
Carthage,by B H Warmington,Rare Books,£11.99
Europe Unfolding 1648-1688,by J Stoye,Rare Books,£5.39
The Dam Busters,by Paul Brickhill,Rare Books,£4.79
Contemporary Schools of Psychology,by Robert Sessions Woodworth,Rare Books,£7.59
"Peace in Vietnam, A New Approach in Southeast Asia",by Anon,Rare Books,£7.99
Power at the Pentagon,by Jack Raymond,Rare Books,£8.59
General Giap. Politician and Stragegist,by Robert J. O'Neill,Rare Books,£11.49
Navy Of To-Day: Our Defenders,by Lieut.-Commander Kenneth Edwards,Rare Books,£19.09
Collision Course: The Cuban Missile Crisis And Coexistence,by Henry M. Patcher,Rare Books,£9.89
Children's Ways Being Selections from the Author's 'Studies of Childhood' with Some Additional Matter,by James Sully,Rare Books,£22.09
The Complete Aficionado,"by John McCormick, M.S. Mascarenas",Rare Books,£8.29
The Expansion of Europe in the 18th Century. Overseas Rivalry Discovery and Exploitation.,by W. Glyndwr,Rare Books,£7.39
Oxygen in War and Peace,by Unstated,Rare Books,£11.39
Ghost Cruiser H. K. 33,by H. J. Brennecke,Rare Books,£7.99
Personal Values in the Modern World,by M.V.C. Jeffreys,Rare Books,£3.89
Politics And The Younger Generation.,by A.L. Rowse,Rare Books,£8.59
The Psychology of Childhood and Adolescence,by C.I. Sandstrom,Rare Books,£4.49
Socialism,by Robert Flint,Rare Books,£20.19
"Marriage, Sex And Society",by Martin Arnold,Rare Books,£4.09
A Book of Ireland,by Frank O'Connor (ed.),Rare Books,£6.99
To the Victors the Spoils,by Colin MacInnes,Rare Books,£6.19
Britain at War 1939 to 1945: What Was Life Like During the War?,by James Lingard,Rare Books,£4.29
The History of Israel; Its Facts and Factors,by H. Wheeler Robinson,Rare Books,£5.99
The Language and Thought of the Child (trans. M. Warden),by Jean Piaget,Rare Books,£14.39
The Watsonian War Record 1914-1918,by None stated,Rare Books,£18.49
Romanifesto: Modern Lessons from Classical Politics,by Asa Bennett,Rare Books,£6.89
Emotion and Delinquency: A Clinical Study of Five Hundred Criminals in the Making,by L.Grimberg,Rare Books,£9.39
The Story of Sea Warfare,by David Divine,Rare Books,£6.99
Czechoslovakia and Socialism,"by Bertrand Russell, Et Al.",Rare Books,£22.19
Anatole France: The Politics of Skepticism,by Carter Jefferson,Rare Books,£6.99
Political Dialogues,by Maurice Cranston,Rare Books,£7.99
In Cap and Gown; Three Centuries of Cambridge Wit,by Charles Whibley (ed.),Rare Books,£7.99
A Salute to America: Vitality Freedom and Gaiety,by John Buchanan,Rare Books,£9.39
The Wander Woman's Playbook: My Habits for Becoming Unstoppable,by Anna Kuusela,Rare Books,£4.99
Brambletye House or Caveliers and Roundheads: Vol. VI & VII,by Smith,Rare Books,£15.29
Army Without Guns,by Cyril Barnes,Rare Books,£5.39
Cassino: Portrait of A Battle,by Fred Majdalany,Rare Books,£5.99
"Chan Kom, a Maya Village","by Robert Redfield, Alfonso Villa R",Rare Books,£11.19
The Sea Shall Not Have Them,by John Harris,Rare Books,£4.89
Chantemerle: A Romance of the Vendean War,by D.K. Broster G . W. Taylor,Rare Books,£12.99
Local Government in England and Wales,by W Eric Jackson,Rare Books,£4.89
"The Anatomy of Glory, Napoleon and His Guard, a Study in Leadership (Trans. Anne S.K. Brown)",by Henry Lachouque,Rare Books,£8.79
Straight and Crooked Thinking,by Robert H. Thouless,Rare Books,£4.89
The Fall Of The Dynasties The Collapse Of The Old Order,by Edmond Taylor,Rare Books,£7.29
Confederate Military History Volume XIII: The South After the War and the Confederate Navy,by Gen. Clement A. Evans,Rare Books,£11.49
Social Evolution (Fontana Library),by Gordon Childe,Rare Books,£7.99
The Role of the Supreme Court in American Government and Politics,by Charles Grove Haines,Rare Books,£11.39
The Psychology Of Social Classes: A Study Of Class Consciousness (Studies In Public Opinion),by Richard Centers,Rare Books,£11.69
General Psychology,by Lawrence Edwin Cole,Rare Books,£6.39
A Primer of Freudian Psychology,by Calvin S. Hall,Rare Books,£8.49
The New States of Asia A Political Analysis,by Michael Brecher,Rare Books,£11.79
"Great Issues In American History: From Reconstruction To The Present Day, 1864-1969",by Richard Hofstadter,Rare Books,£5.49
Psychology,by F. S Granger,Rare Books,£13.99
The Air War in the West: June 1941 - April 1945,by TREVOR NEVITT DUPUY,Rare Books,£5.29
Keepers of The Khyber,by Arthur Catherall,Rare Books,£6.89
The Party That Runs Away; A Floating Voter Sums Up The Socialists,by Cedric Garth,Rare Books,£5.79
Psychology Of Personnel In Business And Industry,by Roger M. Bellows,Rare Books,£7.29
More Thoughts and Talks: the Diary and Scrapbook of a Member of Parliament from September 1937 to August 1939,by Sir Arnold Wilson,Rare Books,£7.89
Relax and live (Mind and matter series),by Joseph Aloysius Kennedy,Rare Books,£9.49
National Wages Policy in War and Peace,by B.C.Roberts,Rare Books,£6.89
Science and Social Welfare in the Age of Newton,by G.N. Clark,Rare Books,£6.69
The Constitutional History Of England,by Henry Hallam,Rare Books,£6.39
Inside Russia Today,by J. Gunther,Rare Books,£8.79
How the Battle Was Won,by Louis Bouchier,Rare Books,£7.89
Bridge of the Brocade Sash: Travels and Observations in Japan,by Sacheverell Sitwell,Rare Books,£7.59
British Towns,by C. A. Moser & Wolf Scott,Rare Books,£7.39
Sex For The Engaged,by Leonora Eyles,Rare Books,£6.69
"Peter Clayton, Midshipman",by Dempster Heming,Rare Books,£8.89
Germany: People and Politics,by Robert F Hopwood,Rare Books,£5.89
"Britain, The World And The War God",by Sir George MacMunn,Rare Books,£7.89
Aspects of the Study of Society,by R.T. Evans,Rare Books,£11.59
Ireland From The Earliest Time To The Present Day,by Robert Dunlop,Rare Books,£8.39
Parliamentary Government in England.,by Harold Laski,Rare Books,£6.89
"Blood, Sweat, and Tears",by The Rt. Hon. Winston S. Churchill.,Rare Books,£6.49
The Psychology Of Learning,by James Deese,Rare Books,£8.69
Body Language,by Joseph Braysich,Rare Books,£12.19
The Little Regiment,by D. H. Parry,Rare Books,£7.89
Modern Marriage and Birth Control,by Edward F. Griffith,Rare Books,£8.49
The Psychology of Happiness.,by Donald Brook,Rare Books,£6.89
Yarns of a Kentucky Admiral,by Hugh Rodman,Rare Books,£12.69
Democracy,by C. Delisle Burns,Rare Books,£6.49
The International Share Out,by Barbara Ward,Rare Books,£8.49
"The Republican Party 1854-1964, Second Edition",by George H. Mayer,Rare Books,£5.49
United States Army And Air Force Fighters 1916 - 1961,by Bruce Robertson (ed.),Rare Books,£7.89
From Bended Knee to a New Republic: How the Fight for Water is Changing Ireland,by Brendan Ogle,Rare Books,£10.69
Fairy Tales Of An SAC: A Young Airman's Experiences In The Royal Air Force 1967-72,by John McGregor,Rare Books,£5.39
From Hastings to Culloden (Battlefields in Britain),by Peter Young & John Adhair,Rare Books,£9.09
Nationalisation in British Politics,by E.Eldon Barry,Rare Books,£7.69
Culture and Mental Disorders,by Ralph Linton,Rare Books,£15.89
The Poetical Works of John Milton,by John Milton,Rare Books,£10.49
Vietnam Between Two Truces,by Jean Lacouture,Rare Books,£6.79
The Battle of Midway,by Peter C. Smith,Rare Books,£3.99
Let the People Know,by Norman Angell,Rare Books,£9.99
The Gates of Hell,by Ewart Brookes,Rare Books,£7.29
Winged Warfare,by William A. Bishop,Rare Books,£6.69
War at the Top,by James Leasor,Rare Books,£10.99
The Soviet Threat to Europe,by Various,Rare Books,£6.89
The Battle Is The Pay-Off.,by R. Ingersoll,Rare Books,£12.19
Dances of Scotland,"by Jean D. Milligan, D.G. MacLennan",Rare Books,£7.59
Russia Fights Japan,by Frank Knight,Rare Books,£7.59
"The Sober Truth, Alcoholic Realities",by Lincoln Williams,Rare Books,£25.99
Surrendered. Some Naval War Secrets,by Griff,Rare Books,£35.99
The Black and Tans,by Richrd Bennett,Rare Books,£8.29
This Is The Enemy,by Frederick Oechsner,Rare Books,£26.29
One Flesh: Seperate Persons,by A. C. Robin Skynner,Rare Books,£15.19
Partners in Adventure,by Derek Ingram,Rare Books,£4.79
Pharsalia: Dramatic Episodes of the Civil Wars,by Lucan,Rare Books,£23.79
The Tools of Social Science,by John Madge,Rare Books,£9.99
Company K,by William March,Rare Books,£12.19
Teaching; a Psychological Analysis,by C.M. Fleming,Rare Books,£12.09
Source Book of Irish Government,by Unstated,Rare Books,£13.19
Young Africa,by Peter Larsen,Rare Books,£7.39
The Children of Lilith,by Guy Piazzini,Rare Books,£7.99
"Freedom, Loyalty, Dissent",by Henry Steele Commager,Rare Books,£6.39
The R.A.F. In Action.,by Anon,Rare Books,£13.69
South American War: Behind the Scenes in the Fight for Falklands,by Jeremy Brown,Rare Books,£17.39
Spearhead: The Story Of The First British Corps,by Desmond Bastick,Rare Books,£8.09
Administrative Therapy,by David H. Clark,Rare Books,£16.99
"Keep Far Our Foes: The Battle of Britain, 1940",by Philip Copland,Rare Books,£7.49
Men of War (Collected Essays 3),by Philip Guedalla,Rare Books,£12.19
Existing Mechanisms of Arms Control,by Wayland Young (ed.),Rare Books,£8.89
The Naval War in the West: The Raiders,by Trevor Nevitt Dupuy,Rare Books,£7.09
European Politics in Southern Rhodesia,by Colin Leys,Rare Books,£13.09
New Introduction to Psychology,by John Cohen,Rare Books,£7.39
The New Psychology and Religious Experience (Halley Stewart Publications. no. 2.),by Thomas Hywel Hughes,Rare Books,£8.69
Threads The House Journal of Spirella Vol XXIX 1956,,Rare Books,£13.09
John F. Kennedy: Portrait Of A President,by Hugh Sidey,Rare Books,£6.49
A City Council From Within,by E. D. Simon,Rare Books,£11.99
"Social Stratification: Volume 1, Sociological Studies",by J.A.Jackson (Ed.),Rare Books,£13.69
Wagner's Nibelungen Ring: Done Into Blank Verse.,by Lt-Col Sir Reginald Rankin,Rare Books,£11.19
As I Saw It,by Alfred M Lee,Rare Books,£4.29
Rage: Managing an Explosive Emotion,by Theodor Itten,Rare Books,£12.09
Life Long Love: Healthy Sex and Marriage,by Rennie MacAndrew,Rare Books,£7.19
The Normal Child,by C.W. Valentine,Rare Books,£4.49
The Vocabulary of Politics,by T.D.Weldon,Rare Books,£3.89
Great True War Adventures,by Fred Urquhart (Ed.),Rare Books,£5.59
Sense and Nonsense in Psychology,by H.J. Eysenck,Rare Books,£4.49
Psychology,by Norman L. Munn,Rare Books,£7.39
Course of American Democratic Thought,by Ralph Henry Gabriel,Rare Books,£4.79
The Lands and Peoples of Central America,by Gerard Colvin,Rare Books,£12.89
"Voters, Parties, and Leaders",by J. Blondel,Rare Books,£4.49
Title: An Outline of Psychiatry,by Clarence J Rowe,Rare Books,£4.49
The State Of The Nation (The Phoenix Living Poets),by Alan Bold,Rare Books,£4.19
Egypt's Struggle for Independence,by Mahmud Y. Zayid,Rare Books,£4.79
Psychiatry To-day,by David Stafford-Clark,Rare Books,£4.49
Psychotherapy in our society (a spectrum book),by Theron Alexander,Rare Books,£4.69
Dictionary of Social Sciences,by J Gould & W L Kolb,Rare Books,£9.89
You and Your Child,by Winifred De Kok,Rare Books,£3.89
Chinese Bronzes,by Mario Bussagli,Rare Books,£4.79
Disillusioned India,by Dhan Gopal Mukerji,Rare Books,£9.89
Six Years of Socialist Government; Parts I-VI,by Conservative Party Research Department,Rare Books,£9.19
"World War II Almanac 1931-1945, A Political and Military Record",by Robert Goralski,Rare Books,£9.89
The First World War in German Narrative Prose Essays in Honour of George Wallis Field,by Charles N. Genno & Heinz Wetzel (Ed.),Rare Books,£10.79
The Politics of the Firm,by Leonard Tivey,Rare Books,£4.79
United States of America,by F. G. Alletson Cook,Rare Books,£7.99
The War Dispatches of Stephen Crane.,by Stephen Crane,Rare Books,£18.99
Development of Scientific Concepts in a Young Child: A Case Study,by John Gabriel Navarra,Rare Books,£14.69
The Testing of Intelligence,by Prof H. R. Hamley,Rare Books,£6.19
"Liberty Men, Fall In!",by Eric H. Little,Rare Books,£8.69
Politics of the Media,by John Whale,Rare Books,£4.09
Understanding Shyness: Psychological Perspectives,by W.R.Crozier,Rare Books,£12.39
Running Commentary.,by Fougasse,Rare Books,£7.19
People of Coal Town,by Herman R. Lantz,Rare Books,£8.79
Problems in International Relations,by Andrew Gyorgy,Rare Books,£10.49
Child Health and the State,by Alan Moncrieff,Rare Books,£5.29
Social Psychology,by W. J. H. Sprott,Rare Books,£5.59
At Last We Have Got Our Country Back,by G. H. Calpin,Rare Books,£5.89
Government and Politics in Tribal Societies,by I. Schapera,Rare Books,£5.89
A History of British Politics from the Year 1900,by N.P.Thomas,Rare Books,£10.19
Personality And Success Volume II,by Hilary F. Page,Rare Books,£9.99
It Is Peacetime Now,by John Gordon-Duff,Rare Books,£5.29
The Development of Political Ideas,by F. J. C. Hearnshaw,Rare Books,£4.09
Self Government for the Celtic Countries,by Dr. Ceinwen Thomas,Rare Books,£4.89
Traditions of Social Policy; Essays in Honour of Violet Butler,by A.H. Halsey (ed.),Rare Books,£26.49
"The Anatomy of American Popular Culture, 1840-1861",by Carl Bode,Rare Books,£19.59
The Social Influence Processes,by James T Tedeschi,Rare Books,£12.59
The Psychology of Sex (Pelican A194),by Oswald Schwarz,Rare Books,£4.69
Study of Brief Psychotherapy (Mind & Medicine Monograph),by David Malan,Rare Books,£18.19
Political Representation And Elections In Britain. A Study In Poliitical Science.,by P.G.J.Pulzer,Rare Books,£19.49
Through the Iron Curtain Via the Back Door,by Kyaw Min,Rare Books,£11.19
By What Authority?,by Hugh J. Schonfield,Rare Books,£12.99
"Language, Thought & Culture","by Roger W. Brown, et al.",Rare Books,£18.39
Guided Missiles,by Charles T. Myers,Rare Books,£19.79
The Red Army,by Edgar O'Ballance,Rare Books,£7.39
Cairo Crisis,by Wyndham Martyn,Rare Books,£5.79
Hypnotism And Psychic Phenomena,by Simeon Edmunds,Rare Books,£11.69
Rebels and Democrats,by Elisha P. Douglass,Rare Books,£5.69
The Red Prussian,by Leopold Schwarzchild,Rare Books,£15.59
Sword and Pen: Some Problems Of A Battledress Army; Ten Essays,by Major-General A. C. Duff,Rare Books,£6.39
The Story of the Irish Citizen Army,by P. O Cathasaigh,Rare Books,£19.59
"The Mississippi Valley in British Politics: A Study of the Trade, Land Speculation, and Experiments in Imperialism Culminating in the American Revolution",by Clarence Walworth Alvord,Rare Books,£15.59
Political Community and the North Atlantic Area,"by Karl W Deutsch, et al",Rare Books,£15.09
Political Community and the North Atlantic Area,"by Karl W Deutsch, et al",Rare Books,£16.09
Nigeria Under British Rule,by William N M Geary,Rare Books,£25.49
The Great Deeds of The Black Watch,by L Cope Cornford & F W Walker,Rare Books,£6.99
United States And United Kingdom: Comparisons Contrasts And Similarities In English And American Life And Literature,by G. F. Lamb (ed.),Rare Books,£8.89
A Contribution to the Critique of Political Economy,by Karl Marx,Rare Books,£19.09
An Education: How an outsider became an insider - and learned what really goes on in Irish government,by John Walshe,Rare Books,£5.89
Back-Bencher and Chairman : Some Parliamentary Reminiscenes,by Lord Hemingford,Rare Books,£6.79
"Foch, the Man of Orleans",by Liddell Hart,Rare Books,£13.19
Personal Forces of the Period,by Thomas Hay Sweet Escott,Rare Books,£15.29
Quit Ye Like Men,by John Perry,Rare Books,£5.99
Adolescence: Its Social Psychology (International Library of Society),by Charlotte M.Fleming,Rare Books,£6.79
India and Pakistan: A Short Political Guide,by Hugh Tinker,Rare Books,£6.79
When the Enemy Is Tired,by Russell Braddon,Rare Books,£5.69
British Airborne Forces 1940 1990 Golden Jubilee,by Unstated,Rare Books,£11.39
Johnnie Johnson: Spitfire Top Gun Part I,"by Sarkar, Dilip",Rare Books,£10.69
Psychology: Briefer Course,by William James,Rare Books,£19.59
Land of Hope and Glory?,by Alphonso Charles,Rare Books,£9.49
Revolution in International Relations,by Ernest Francis Penrose,Rare Books,£12.99
Introduction to the Experimental Psychology of Beauty,by C. W. Valentine,Rare Books,£4.79
Alle Strassen Führen Nach Berlin,by Curt Riess,Rare Books,£8.59
Psycho-Analysis and Its Place in Life,by M.K. Bradby,Rare Books,£6.79
Historical Sociology: An Introduction to Societal Eviolution and Culture,by Vernon Brelsford,Rare Books,£5.79
Moments of Meditation,by P.S.McElroy,Rare Books,£6.19
700 Years of Parliament,by Edgar J.Ford,Rare Books,£7.99
The Nature of Cultural Things,by Marvin Harris,Rare Books,£7.79
The Britain I Want,by E Shinwell,Rare Books,£6.29
Political Oppositions in Western Democracies,by R. A.Dahl (Edt.),Rare Books,£5.99
Have a Nice Day,by Justin Webb,Rare Books,£5.79
Battle for the Environment,by Tony Aldous,Rare Books,£4.59
Organizational Psychology (Foundations of Modern Psychology Series),by Edgar H Schein,Rare Books,£6.09
All About the Human Mind,by Robert M. Goldenson,Rare Books,£15.69
The Powers Behind the Prime Ministers,by Sir Charles Petrie,Rare Books,£5.89
Mons; The Retreat To Victory,by John Terraine,Rare Books,£3.89
Battles of English Civil War,by Austin Woolrych,Rare Books,£3.89
The Theory and Practice of Communism,by R. N. Carew Hunt,Rare Books,£6.29
Politics of Change in Latin America,by Joseph Maier & Richard W. Weatherhead,Rare Books,£6.69
The Turn of the Road,by Bartimeus,Rare Books,£4.19
The Book of Snobs,by William Makepeace Thackeray,Rare Books,£7.89
Everyday Life of the Maya,by Ralph Whitlock,Rare Books,£7.39
Eagle Book of Britains Fighting Services,by Unstated,Rare Books,£6.49
Human Aggression,by Anthony Storr,Rare Books,£9.39
From Serfdom to Welfare: A Book for Social Studies,by H.W.Saunders,Rare Books,£17.29
The Shot Gun & Its Uses,by East Sussex,Rare Books,£7.99
Introduction To Politics (Sylvan Books On Modern Studies Series),by Dorothy M. Pickles,Rare Books,£6.59
The Night Battle: Essays,by J. M. Cameron,Rare Books,£7.69
An Introduction to Human Geography,by J.H.G. Lebon,Rare Books,£8.29
Personal Relationships in Psychological Disorders,by Gordon R. Lowe,Rare Books,£4.49
The Red Duster at War: A Book about the Merchant Navy,by Warren Armstrong,Rare Books,£6.99
Escape from Germany,by Aidan Crawley,Rare Books,£6.99
Handbook for Masters,by W.H. LaBoyteaux,Rare Books,£18.79
Sigmund Freud: A Pavlovian Critique: Pavlov & Freud II - english,by Harry K. Wells,Rare Books,£6.39
The Measurement of Social Welfare,by Jerome Rothenberg,Rare Books,£7.79
Home Fires Burning: The Great War Diaries Of Georgina Lee,by Georgina Lee,Rare Books,£6.49
Politics and the People 1835-1850,by K. H. Randell,Rare Books,£4.59
Personality: Selected Readings,"by Richard S. Lazarus & Edward M. Opton, Jr (Eds.)",Rare Books,£11.39
The Psychological Novel 1900 - 1950,by L. Edel,Rare Books,£7.09
The Essentials Of Parliamentary Democracy. With A New Introduction By Michael Oakeshott,by R Bassett,Rare Books,£9.79
The Army From Within,by Anon,Rare Books,£9.99
The World of Washington Irving: Stories and Sketches by America's First Great Writer,by J F McDermott (Ed),Rare Books,£4.89
Of Their Own Choice,by Peter Churchill,Rare Books,£19.69
No Music For Generals,by Frederick Howard,Rare Books,£7.39
Goodbye To All That,by Robert Graves,Rare Books,£4.49
Unto This Last & Other Essays on Art and Political Economy,by John Ruskin,Rare Books,£7.99
Warplanes of the World,by J.W.R. Taylor,Rare Books,£7.69
Essentials of Psychological Testing,by Lee J. Cronbach,Rare Books,£14.59
At War with Asia,by N. Chomsky,Rare Books,£11.69
North to Antietam Battles and Leaders; Volume 2,by Johnson Robert Unde,Rare Books,£8.69
The Poor World,by Bernard Llewellyn,Rare Books,£4.59
Adversary Politics and Electoral Reform,by Various,Rare Books,£7.69
Lectures to Relatives of Former Patients,by Abraham A. Low,Rare Books,£9.29
Battlefields in Britain; Britain in Pictures No 78,by C.V. Wedgwood,Rare Books,£7.09
"The First Hundred Thousand; Chronicle of a Unit of ""K(I)""",by Ian Hay,Rare Books,£6.99
The Future of Conservatism,by Brian Binley et al.,Rare Books,£11.39
Where No Angels Dwell,by Sandy Johnstone with Roderick Grant,Rare Books,£15.09
The Beaver Book of War Stories,by George Kay,Rare Books,£6.39
Report on the Germans,by William Lindsay White,Rare Books,£16.39
Report On Mao's China,by Frank Moraes,Rare Books,£7.49
Civilian Morale,by Goodwin Watson,Rare Books,£30.29
Journey into America: The Challenge of Islam,by Akbar Ahmed,Rare Books,£7.39
Modern Egypt,by Tom Little,Rare Books,£6.99
